
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,false,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,false,
8500,false,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,false,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,false,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,false,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,true,
10000,true,
500,false,
1000,false,
1500,false,
2000,false,
2500,false,
3000,false,
3500,false,
4000,false,
4500,false,
5000,false,
5500,false,
6000,false,
6500,false,
7000,false,
7500,false,
8000,true,
8500,true,
9000,true,
9500,true,
10000,true,
